infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
"to bore; to tire, weary",Subjunctive,Future Perfect,I will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,aburrir,Subjuntivo,Futuro perfecto,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubiereis aburrido,hubieren aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Subjunctive,Past Perfect,I had bored,had bored,had bored,had bored,had bored,had bored,had bored,aburrir,Subjuntivo,Pluscuamperfecto,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubierais aburrido,hubieran aburrido,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Imperative Affirmative,Present,Bore! Don't bore!,bore,bore,bores,bore,bore,bore,aburrir,Imperativo Afirmativo,Presente,,aburre,aburrid,,aburra,aburran,aburriendo,boring,aburrido,bored
"to bore; to tire, weary",Imperative Negative,Present,Bore! Don't bore!,bore,bore,bores,bore,bore,bore,aburrir,Imperativo Negativo,Presente,,no aburras,no aburráis,,no aburra,no aburran,aburriendo,boring,aburrido,bored
"to get bored, become bored, be bored",Indicative,Present,"I get bored, am getting bored",get bored,get bored,get boreds,get bored,get bored,get bored,aburrirse,Indicativo,Presente,me aburro,te aburres,se aburre,nos aburrimos,os aburrís,se aburren,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Future,I will get bored,will get bored,will get bored,will get bored,will get bored,will get bored,will get bored,aburrirse,Indicativo,Futuro,me aburriré,te aburrirás,se aburrirá,nos aburriremos,os aburriréis,se aburrirán,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Imperfect,"I was getting bored, used to get bored, got bored",was getting bored,were getting bored,was getting bored,were getting bored,were getting bored,were getting bored,aburrirse,Indicativo,Imperfecto,me aburría,te aburrías,se aburría,nos aburríamos,os aburríais,se aburrían,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Preterite,I got bored,bored,bored,bored,bored,bored,bored,aburrirse,Indicativo,Pretérito,me aburrí,te aburriste,se aburrió,nos aburrimos,os aburristeis,se aburrieron,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Conditional,I would get bored,would get bored,would get bored,would get bored,would get bored,would get bored,would get bored,aburrirse,Indicativo,Condicional,me aburriría,te aburrirías,se aburriría,nos aburriríamos,os aburriríais,se aburrirían,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Present Perfect,I have gotten bored,have bored,have bored,has bored,have bored,have bored,have bored,aburrirse,Indicativo,Presente perfecto,me he aburrido,te has aburrido,se ha aburrido,nos hemos aburrido,os habéis aburrido,se han aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Future Perfect,I will have gotten bored,will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,aburrirse,Indicativo,Futuro perfecto,me habré aburrido,te habrás aburrido,se habrá aburrido,nos habremos aburrido,os habréis aburrido,se habrán aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Past Perfect,I had gotten bored,had bored,had bored,had bored,had bored,had bored,had bored,aburrirse,Indicativo,Pluscuamperfecto,me había aburrido,te habías aburrido,se había aburrido,nos habíamos aburrido,os habíais aburrido,se habían aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Preterite (Archaic),I had gotten bored,,,,,,,aburrirse,Indicativo,Pretérito anterior,me hube aburrido,te hubiste aburrido,se hubo aburrido,nos hubimos aburrido,os hubisteis aburrido,se hubieron aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Indicative,Conditional Perfect,I would have gotten bored,would have bored,would have bored,would have bored,would have bored,would have bored,would have bored,aburrirse,Indicativo,Condicional perfecto,me habría aburrido,te habrías aburrido,se habría aburrido,nos habríamos aburrido,os habríais aburrido,se habrían aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Present,"I get bored, am getting bored",get bored,get bored,get boreds,get bored,get bored,get bored,aburrirse,Subjuntivo,Presente,me aburra,te aburras,se aburra,nos aburramos,os aburráis,se aburran,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Imperfect,"I got bored, was getting bored",was getting bored,were getting bored,was getting bored,were getting bored,were getting bored,were getting bored,aburrirse,Subjuntivo,Imperfecto,me aburriera,te aburrieras,se aburriera,nos aburriéramos,os aburrierais,se aburrieran,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Future,I will get bored,will get bored,will get bored,will get bored,will get bored,will get bored,will get bored,aburrirse,Subjuntivo,Futuro,me aburriere,te aburrieres,se aburriere,nos aburriéremos,os aburriereis,se aburrieren,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Present Perfect,"I have gotten bored, got bored",have bored,have bored,has bored,have bored,have bored,have bored,aburrirse,Subjuntivo,Presente perfecto,me haya aburrido,te hayas aburrido,se haya aburrido,nos hayamos aburrido,os hayáis aburrido,se hayan aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Future Perfect,I will have gotten bored,will have bored,will have bored,will have bored,will have bored,will have bored,will have bored,aburrirse,Subjuntivo,Futuro perfecto,me hubiere aburrido,te hubieres aburrido,se hubiere aburrido,nos hubiéremos aburrido,os hubiereis aburrido,se hubieren aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Subjunctive,Past Perfect,I had gotten bored,had bored,had bored,had bored,had bored,had bored,had bored,aburrirse,Subjuntivo,Pluscuamperfecto,me hubiera aburrido,te hubieras aburrido,se hubiera aburrido,nos hubiéramos aburrido,os hubierais aburrido,se hubieran aburrido,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Imperative Affirmative,Present,Get bored! Don't get bored!,get bored,get bored,get boreds,get bored,get bored,get bored,aburrirse,Imperativo Afirmativo,Presente,,abúrrete,aburríos,,abúrrase,abúrranse,aburriéndose,getting bored,aburrido,bored
"to get bored, become bored, be bored",Imperative Negative,Present,Get bored! Don't get bored!,get bored,get bored,get boreds,get bored,get bored,get bored,aburrirse,Imperativo Negativo,Presente,,no te aburras,no os aburráis,,no se aburra,no se aburran,aburriéndose,getting bored,aburrido,bored
"to go too far, take advantage",Indicative,Present,"I go too far, am going too far",go too far,go too far,go too fars,go too far,go too far,go too far,abusar,Indicativo,Presente,abuso,abusas,abusa,abusamos,abusáis,abusan,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Future,I will go too far,will go too far,will go too far,will go too far,will go too far,will go too far,will go too far,abusar,Indicativo,Futuro,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Imperfect,"I was going too far, used to go too far, went too far",was going too far,were going too far,was going too far,were going too far,were going too far,were going too far,abusar,Indicativo,Imperfecto,abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Preterite,I went too far,"gone too far, abused","gone too far, abused","gone too far, abused","gone too far, abused","gone too far, abused","gone too far, abused",abusar,Indicativo,Pretérito,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Conditional,I would go too far,would go too far,would go too far,would go too far,would go too far,would go too far,would go too far,abusar,Indicativo,Condicional,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Present Perfect,I have gone too far,"have gone too far, abused","have gone too far, abused","has gone too far, abused","have gone too far, abused","have gone too far, abused","have gone too far, abused",abusar,Indicativo,Presente perfecto,he abusado,has abusado,ha abusado,hemos abusado,habéis abusado,han abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Future Perfect,I will have gone too far,"will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused",abusar,Indicativo,Futuro perfecto,habré abusado,habrás abusado,habrá abusado,habremos abusado,habréis abusado,habrán abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Past Perfect,I had gone too far,"had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused",abusar,Indicativo,Pluscuamperfecto,había abusado,habías abusado,había abusado,habíamos abusado,habíais abusado,habían abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Preterite (Archaic),I had gone too far,,,,,,,abusar,Indicativo,Pretérito anterior,hube abusado,hubiste abusado,hubo abusado,hubimos abusado,hubisteis abusado,hubieron abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Indicative,Conditional Perfect,I would have gone too far,"would have gone too far, abused","would have gone too far, abused","would have gone too far, abused","would have gone too far, abused","would have gone too far, abused","would have gone too far, abused",abusar,Indicativo,Condicional perfecto,habría abusado,habrías abusado,habría abusado,habríamos abusado,habríais abusado,habrían abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Present,"I go too far, am going too far",go too far,go too far,go too fars,go too far,go too far,go too far,abusar,Subjuntivo,Presente,abuse,abuses,abuse,abusemos,abuséis,abusen,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Imperfect,"I went too far, was going too far",was going too far,were going too far,was going too far,were going too far,were going too far,were going too far,abusar,Subjuntivo,Imperfecto,abusara,abusaras,abusara,abusáramos,abusarais,abusaran,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Future,I will go too far,will go too far,will go too far,will go too far,will go too far,will go too far,will go too far,abusar,Subjuntivo,Futuro,abusare,abusares,abusare,abusáremos,abusareis,abusaren,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Present Perfect,"I have gone too far, went too far","have gone too far, abused","have gone too far, abused","has gone too far, abused","have gone too far, abused","have gone too far, abused","have gone too far, abused",abusar,Subjuntivo,Presente perfecto,haya abusado,hayas abusado,haya abusado,hayamos abusado,hayáis abusado,hayan abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Future Perfect,I will have gone too far,"will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused","will have gone too far, abused",abusar,Subjuntivo,Futuro perfecto,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubiereis abusado,hubieren abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Subjunctive,Past Perfect,I had gone too far,"had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused","had gone too far, abused",abusar,Subjuntivo,Pluscuamperfecto,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubierais abusado,hubieran abusado,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Imperative Affirmative,Present,Go too far! Don't go too far!,go too far,go too far,go too fars,go too far,go too far,go too far,abusar,Imperativo Afirmativo,Presente,,abusa,abusad,,abuse,abusen,abusando,going too far,abusado,"gone too far, abused"
"to go too far, take advantage",Imperative Negative,Present,Go too far! Don't go too far!,go too far,go too far,go too fars,go too far,go too far,go too far,abusar,Imperativo Negativo,Presente,,no abuses,no abuséis,,no abuse,no abusen,abusando,going too far,abusado,"gone too far, abused"
"to finish, end",Indicative,Present,"I finish, am finishing",finish,finish,finishs,finish,finish,finish,acabar,Indicativo,Presente,acabo,acabas,acaba,acabamos,acabáis,acaban,acabando,finishing,acabado,finished
"to finish, end",Indicative,Future,I will finish,will finish,will finish,will finish,will finish,will finish,will finish,acabar,Indicativo,Futuro,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acabando,finishing,acabado,finished
"to finish, end",Indicative,Imperfect,"I was finishing, used to finish, finished",was finishing,were finishing,was finishing,were finishing,were finishing,were finishing,acabar,Indicativo,Imperfecto,acababa,acababas,acababa,acabábamos,acababais,acababan,acabando,finishing,acabado,finished
